osm_id;land;ort;plz;landkreis;bundesland
1104550;DE;Aach;78267;Landkreis Konstanz;Baden-Württemberg
1255910;DE;Aach;54298;Landkreis Trier-Saarburg;Rheinland-Pfalz
62564;DE;Aachen;52062;Städteregion Aachen;Nordrhein-Westfalen
62564;DE;Aachen;52064;Städteregion Aachen;Nordrhein-Westfalen
62564;DE;Aachen;52066;Städteregion Aachen;Nordrhein-Westfalen
62564;DE;Aachen;52068;Städteregion Aachen;Nordrhein-Westfalen
62564;DE;Aachen;52070;Städteregion Aachen;Nordrhein-Westfalen
62564;DE;Aachen;52072;Städteregion Aachen;Nordrhein-Westfalen
62564;DE;Aachen;52074;Städteregion Aachen;Nordrhein-Westfalen
62564;DE;Aachen;52076;Städteregion Aachen;Nordrhein-Westfalen
62564;DE;Aachen;52078;Städteregion Aachen;Nordrhein-Westfalen
62564;DE;Aachen;52080;Städteregion Aachen;Nordrhein-Westfalen
915486;DE;Aalen;73430;Ostalbkreis;Baden-Württemberg
915486;DE;Aalen;73431;Ostalbkreis;Baden-Württemberg
915486;DE;Aalen;73432;Ostalbkreis;Baden-Württemberg
915486;DE;Aalen;73433;Ostalbkreis;Baden-Württemberg
915486;DE;Aalen;73434;Ostalbkreis;Baden-Württemberg
413109;DE;Aarbergen;65326;Rheingau-Taunus-Kreis;Hessen
448770;DE;Aasbüttel;25560;Kreis Steinburg;Schleswig-Holstein
158409;DE;Abenberg;91183;Landkreis Roth;Bayern
956651;DE;Abensberg;93326;Landkreis Kelheim;Bayern
1244276;DE;Abentheuer;55767;Landkreis Birkenfeld;Rheinland-Pfalz
1015097;DE;Absberg;91720;Landkreis Weißenburg-Gunzenhausen;Bayern
410485;DE;Abstatt;74232;Landkreis Heilbronn;Baden-Württemberg
2389084;DE;Abtsbessingen;99713;Kyffhäuserkreis;Thüringen
915445;DE;Abtsgmünd;73453;Ostalbkreis;Baden-Württemberg
537061;DE;Abtsteinach;69518;Kreis Bergstraße;Hessen
283691;DE;Abtswind;97355;Landkreis Kitzingen;Bayern
1244067;DE;Abtweiler;55568;Landkreis Bad Kreuznach;Rheinland-Pfalz
2806596;DE;Achberg;88147;Landkreis Ravensburg;Baden-Württemberg
452972;DE;Achern;77855;Ortenaukreis;Baden-Württemberg
1182036;DE;Achim;28832;Landkreis Verden;Niedersachsen
959175;DE;Achslach;94250;Landkreis Regen;Bayern
2801019;DE;Achstetten;88480;Landkreis Biberach;Baden-Württemberg
548033;DE;Acht;56729;Landkreis Mayen-Koblenz;Rheinland-Pfalz
1246405;DE;Achtelsbach;55767;Landkreis Birkenfeld;Rheinland-Pfalz
548502;DE;Achterwehr;24239;Kreis Rendsburg-Eckernförde;Schleswig-Holstein
1417214;DE;Achtrup;25917;Kreis Nordfriesland;Schleswig-Holstein
2825844;DE;Adelberg;73099;Landkreis Göppingen;Baden-Württemberg
1399100;DE;Adelebsen;37139;Landkreis Göttingen;Niedersachsen
1796300;DE;Adelheidsdorf;29352;Landkreis Celle;Niedersachsen
915446;DE;Adelmannsfelden;73486;Ostalbkreis;Baden-Württemberg
943553;DE;Adelschlag;85111;Landkreis Eichstätt;Bayern
1016518;DE;Adelsdorf;91325;Landkreis Erlangen-Höchstadt;Bayern
403733;DE;Adelsheim;74740;Neckar-Odenwald-Kreis;Baden-Württemberg
534077;DE;Adelshofen;91587;Landkreis Ansbach;Bayern
933549;DE;Adelshofen;82276;Landkreis Fürstenfeldbruck;Bayern
452562;DE;Adelsried;86477;Landkreis Augsburg;Bayern
163655;DE;Adelzhausen;86559;Landkreis Aichach-Friedberg;Bayern
1060416;DE;Adenau;53518;Landkreis Ahrweiler;Rheinland-Pfalz
1246784;DE;Adenbach;67742;Landkreis Kusel;Rheinland-Pfalz
1363679;DE;Adenbüttel;38528;Landkreis Gifhorn;Niedersachsen
1392133;DE;Adendorf;21365;Landkreis Lüneburg;Niedersachsen
191347;DE;Adlkofen;84166;Landkreis Landshut;Bayern
391131;DE;Admannshagen-Bargeshagen;18211;Landkreis Rostock;Mecklenburg-Vorpommern
443610;DE;Adorf/Vogtland;8626;Vogtlandkreis;Sachsen
448016;DE;Aebtissinwisch;25572;Kreis Steinburg;Schleswig-Holstein
1169356;DE;Aerzen;31855;Landkreis Hameln-Pyrmont;Niedersachsen
405290;DE;Affalterbach;71563;Landkreis Ludwigsburg;Baden-Württemberg
393482;DE;Affing;86444;Landkreis Aichach-Friedberg;Bayern
1992924;DE;Affinghausen;27257;Landkreis Diepholz;Niedersachsen
1171872;DE;Affler;54689;Eifelkreis Bitburg-Prüm;Rheinland-Pfalz
445842;DE;Agathenburg;21684;Landkreis Stade;Niedersachsen
448765;DE;Agethorst;25560;Kreis Steinburg;Schleswig-Holstein
403747;DE;Aglasterhausen;74858;Neckar-Odenwald-Kreis;Baden-Württemberg
191355;DE;Aham;84168;Landkreis Landshut;Bayern
162877;DE;Ahaus;48683;Kreis Borken;Nordrhein-Westfalen
965596;DE;Ahausen;27367;Landkreis Rotenburg (Wümme);Niedersachsen
1408072;DE;Ahlbeck;17375;Landkreis Vorpommern-Greifswald;Mecklenburg-Vorpommern
1808860;DE;Ahlden;29693;Landkreis Heidekreis;Niedersachsen
548612;DE;Ahlefeld-Bistensee;24358;Kreis Rendsburg-Eckernförde;Schleswig-Holstein
152285;DE;Ahlen;59227;Kreis Warendorf;Nordrhein-Westfalen
152285;DE;Ahlen;59229;Kreis Warendorf;Nordrhein-Westfalen
446435;DE;Ahlerstedt;21702;Landkreis Stade;Niedersachsen
2409456;DE;Ahlsdorf;6313;Landkreis Mansfeld-Südharz;Sachsen-Anhalt
1273264;DE;Ahlstädt;98553;Landkreis Hildburghausen;Thüringen
530915;DE;Ahnatal;34292;Landkreis Kassel;Hessen
1145086;DE;Ahneby;24996;Kreis Schleswig-Flensburg;Schleswig-Holstein
1797682;DE;Ahnsbeck;29353;Landkreis Celle;Niedersachsen
1169362;DE;Ahnsen;31708;Landkreis Schaumburg;Niedersachsen
959667;DE;Aholfing;94345;Landkreis Straubing-Bogen;Bayern
959803;DE;Aholming;94527;Landkreis Deggendorf;Bayern
401808;DE;Ahorn;74744;Main-Tauber-Kreis;Baden-Württemberg
956872;DE;Ahorn;96482;Landkreis Coburg;Bayern
1071012;DE;Ahorntal;95491;Landkreis Bayreuth;Bayern
1021829;DE;Ahrbrück;53506;Landkreis Ahrweiler;Rheinland-Pfalz
382442;DE;Ahrensbök;23623;Kreis Ostholstein;Schleswig-Holstein
453746;DE;Ahrensburg;22926;Kreis Stormarn;Schleswig-Holstein
1318349;DE;Ahrensfelde;16356;Landkreis Barnim;Brandenburg
374204;DE;Ahrenshagen-Daskow;18320;Landkreis Vorpommern-Rügen;Mecklenburg-Vorpommern
1406816;DE;Ahrenshöft;25853;Kreis Nordfriesland;Schleswig-Holstein
374244;DE;Ahrenshoop;18347;Landkreis Vorpommern-Rügen;Mecklenburg-Vorpommern
1406979;DE;Ahrenviöl;25885;Kreis Nordfriesland;Schleswig-Holstein
1406977;DE;Ahrenviölfeld;24896;Kreis Nordfriesland;Schleswig-Holstein
1406977;DE;Ahrenviölfeld;25885;Kreis Nordfriesland;Schleswig-Holstein
161897;DE;Aichach;86551;Landkreis Aichach-Friedberg;Bayern
958122;DE;Aicha vorm Wald;94529;Landkreis Passau;Bayern
2792688;DE;Aichelberg;73101;Landkreis Göppingen;Baden-Württemberg
935172;DE;Aichen;86479;Landkreis Günzburg;Bayern
943754;DE;Aichhalden;78733;Landkreis Rottweil;Baden-Württemberg
2806735;DE;Aichstetten;88317;Landkreis Ravensburg;Baden-Württemberg
2796466;DE;Aichtal;72631;Landkreis Esslingen;Baden-Württemberg
2792901;DE;Aichwald;73773;Landkreis Esslingen;Baden-Württemberg
958099;DE;Aidenbach;94501;Landkreis Passau;Bayern
388769;DE;Aidhausen;97491;Landkreis Haßberge;Bayern
722153;DE;Aidlingen;71134;Landkreis Böblingen;Baden-Württemberg
956660;DE;Aiglsbach;84089;Landkreis Kelheim;Bayern
535001;DE;Ailertchen;56459;Westerwaldkreis;Rheinland-Pfalz
162453;DE;Aindling;86447;Landkreis Aichach-Friedberg;Bayern
941761;DE;Ainring;83404;Landkreis Berchtesgadener Land;Bayern
956819;DE;Aislingen;89344;Landkreis Dillingen an der Donau;Bayern
959661;DE;Aiterhofen;94330;Landkreis Straubing-Bogen;Bayern
1244183;DE;Aitern;79677;Landkreis Lörrach;Baden-Württemberg
2806736;DE;Aitrach;88319;Landkreis Ravensburg;Baden-Württemberg
447974;DE;Aitrang;87648;Landkreis Ostallgäu;Bayern
1329407;DE;Aken (Elbe);6385;Landkreis Anhalt-Bitterfeld;Sachsen-Anhalt
1329407;DE;Aken (Elbe);6386;Landkreis Anhalt-Bitterfeld;Sachsen-Anhalt
1284770;DE;Aland;39615;Landkreis Stendal;Sachsen-Anhalt
2186953;DE;Albaching;83544;Landkreis Rosenheim;Bayern
2786234;DE;Albbruck;79774;Landkreis Waldshut;Baden-Württemberg
423032;DE;Albersdorf;25767;Kreis Dithmarschen;Schleswig-Holstein
2778355;DE;Albersdorf;7646;Saale-Holzland-Kreis;Thüringen
2792707;DE;Albershausen;73095;Landkreis Göppingen;Baden-Württemberg
